Search results;Suchergebnisse
"No Person was found for ""%s"".";Es wurde keine Person mit “%s“ gefunden.
Please enter a search item.;Bitte Suchbegriff eingeben.
Searchbox;Suchmaske
search item:;Suchbegriff:
start search;Suche starten
Knowledge Base not found.;Wissensbasis wurde nicht gefunden.
