Search results	Suchergebnisse
"No Person was found for ""%s""."	Es wurde keine Person mit “%s“ gefunden.
Please enter a search item.	Bitte Suchbegriff eingeben.
Searchbox	Suchmaske
search item:	Suchbegriff:
start search	Suche starten
Extend Search	Suche Erweitern
Insert Search Item	 Suchbegriff einfügen
Knowledge Base not found.	Wissensbasis wurde nicht gefunden.
There are more results available than are currently displayed. 	Es sind noch weitere Ergebnisse vorhanden. <br>Bitte Anfrage genauer spezifizieren.
